Ime,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Kenan,-,-,-,-,-,-,-,-,9,7,6,-,-,12,10,6,-,-,10,10,6,6,7,9
Kevin,18,18,29,28,44,38,36,40,30,33,28,29,18,30,24,24,36,33,23,25,25,30,26,28
Kian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,5,5,-,8,-
Kimi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,8,-,-,-,-,-,-,-,-
Klemen,201,229,220,233,202,177,154,157,121,113,110,80,78,80,79,76,66,57,53,39,51,32,40,22
Konstantin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7
Kosta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
Kris,-,-,-,-,7,-,-,-,6,-,6,6,6,-,6,9,8,8,-,12,24,17,31,26
Kristian,13,12,16,13,9,12,12,11,8,18,8,-,-,8,14,9,11,15,14,11,11,17,12,6
Kristijan,33,34,37,23,27,23,15,25,38,22,20,12,11,14,8,15,8,12,20,19,10,15,11,19
Kristjan,55,66,62,65,73,70,70,74,73,91,55,53,54,55,51,32,44,58,44,34,32,28,20,24
Kri�tof,8,-,-,7,8,-,-,5,10,6,9,9,6,-,-,8,8,7,10,6,8,8,12,9
Lan,-,-,-,-,7,22,19,24,31,34,34,59,72,84,79,113,137,127,123,141,122,99,113,120
Lars,-,-,-,-,-,-,-,-,-,-,-,-,-,5,6,8,8,8,5,11,13,11,17,13
Lazar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-
Leart,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-
Ledion,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
Lenart,10,10,6,12,22,14,10,21,10,21,29,19,15,28,24,22,29,23,34,34,46,43,38,40
Leo,-,-,6,-,-,-,7,5,-,7,10,-,10,16,17,13,19,28,34,22,28,34,26,31
Leon,40,47,45,46,51,40,47,37,53,60,65,73,70,76,57,76,89,91,96,69,100,78,87,105
Leonard,-,-,-,-,-,-,-,-,-,-,6,-,-,-,5,-,-,-,5,7,5,-,-,-
Leonardo,-,-,-,-,-,-,6,5,-,-,9,5,5,7,6,-,5,5,6,5,-,-,-,7
Lev,-,-,-,-,-,-,-,-,-,-,-,5,6,10,10,9,10,21,17,11,23,28,22,27
Liam,-,-,-,-,-,-,-,-,5,-,10,7,7,8,11,11,31,34,45,59,51,83,94,106
Lian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,12,9,15,18,15,22,26,20
Lin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,8,9,7,10,7,-,10
Lionel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-
Loris,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,7
Lovrenc,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,6,-,-,-,5
Lovro,14,26,24,22,22,33,26,37,43,54,59,55,60,63,60,78,109,133,138,130,135,145,167,125
Luan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-
Luc,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-
Lucas,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,5,-,8,8,10,13,14,15,23
Lucijan,-,-,6,-,-,-,8,-,-,-,6,-,-,-,-,5,5,-,5,-,5,-,-,9
Luka,310,322,331,313,345,318,356,380,379,400,342,369,382,356,397,351,370,371,392,339,279,317,276,328
Lukas,-,-,-,-,-,-,6,5,10,-,11,7,16,15,24,26,31,39,36,41,44,56,49,62
Mai,-,-,-,-,-,-,-,-,5,-,7,-,12,10,20,20,30,31,35,26,21,18,22,26
Maid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,5,8,8,8
Maik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-
Maj,-,-,8,11,18,13,26,38,58,40,77,100,115,118,137,127,132,128,120,139,116,111,121,103
Mak,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-
Maks,12,7,-,12,15,10,20,30,27,55,54,41,49,69,82,92,122,106,126,143,129,154,118,139
Maksim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,8,10,13,17,12,12,15,16,21
Maksimilijan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-
Maksimiljan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,6,-,10,-,-,5,-
Malik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-
